algorithm,input_size,cost,runtime,tsp_file
greedy,2,14.523503332867456,0:00:00.000002,Random12.tsp
random_restart,2,14.523503332867456,0:00:00.027119,Random12.tsp
brute_force,3,15.598446772167883,0:00:00.000010,Random12.tsp
brute_restart,3,15.598446772167883,0:00:00.000008,Random12.tsp
random,3,20.100503082134534,0:00:00.000006,Random12.tsp
greedy,3,20.100503082134534,0:00:00.000003,Random12.tsp
random_restart,3,20.100503082134534,0:00:00.053065,Random12.tsp
brute_force,4,34.708958455976905,0:00:00.000024,Random12.tsp
brute_restart,4,34.708958455976905,0:00:00.000017,Random12.tsp
random,4,42.549510042254816,0:00:00.000016,Random12.tsp
greedy,4,43.98550524329681,0:00:00.000003,Random12.tsp
random_restart,4,34.70895845597691,0:00:00.079907,Random12.tsp
brute_force,5,53.74486531896949,0:00:00.000082,Random12.tsp
brute_restart,5,53.74486531896949,0:00:00.000085,Random12.tsp
random,5,95.78879710464444,0:00:00.000009,Random12.tsp
greedy,5,58.1895702366179,0:00:00.000004,Random12.tsp
random_restart,5,44.46831853164959,0:00:00.087000,Random12.tsp
brute_force,6,63.47285513343756,0:00:00.000546,Random12.tsp
brute_restart,6,63.47285513343756,0:00:00.000562,Random12.tsp
random,6,88.8714728551105,0:00:00.000012,Random12.tsp
greedy,6,62.064202937037564,0:00:00.000004,Random12.tsp
